Module,/inet/examples/adhoc/multiradio/results/GTrnd36_par40_0_.sca_GTrnd36-0-20100509-14:12:22-10426_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par40_1_.sca_GTrnd36-1-20100509-14:12:22-10427_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par40_2_.sca_GTrnd36-2-20100509-14:16:41-10642_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par50_0_.sca_GTrnd36-3-20100509-14:16:52-10646_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par50_1_.sca_GTrnd36-4-20100509-14:20:38-10929_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par50_2_.sca_GTrnd36-5-20100509-14:21:46-10933_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par60_0_.sca_GTrnd36-6-20100509-14:26:50-11140_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par60_1_.sca_GTrnd36-7-20100509-14:26:57-11144_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par60_2_.sca_GTrnd36-8-20100509-14:32:44-11413_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par70_0_.sca_GTrnd36-9-20100509-14:33:15-11417_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par70_1_.sca_GTrnd36-10-20100509-14:37:57-11624_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par70_2_.sca_GTrnd36-11-20100509-14:39:34-11628_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par80_0_.sca_GTrnd36-12-20100509-14:44:40-11914_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par80_1_.sca_GTrnd36-13-20100509-14:45:41-12121_packets dropped by queue,/inet/examples/adhoc/multiradio/results/GTrnd36_par80_2_.sca_GTrnd36-14-20100509-14:51:35-12399_packets dropped by queue
NetworkMultiRadioIPv4.mobileHost[21].wlan[1].mgmt,0,0,0,0,505,0,23,237,0,642,1090,0,1519,735,618
NetworkMultiRadioIPv4.mobileHost[21].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[22].wlan[0].mgmt,0,0,0,168,572,893,1216,1290,381,2506,653,179,1309,1660,1377
NetworkMultiRadioIPv4.mobileHost[22].wlan[1].mgmt,0,0,0,0,0,0,16,723,0,1565,33,0,893,1365,882
NetworkMultiRadioIPv4.mobileHost[22].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[23].wlan[0].mgmt,55,0,143,0,0,104,0,323,0,0,0,0,301,0,300
NetworkMultiRadioIPv4.mobileHost[23].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[23].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[24].wlan[0].mgmt,0,0,0,0,440,0,0,0,1558,0,240,116,0,0,0
NetworkMultiRadioIPv4.mobileHost[24].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[24].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[25].wlan[0].mgmt,0,21,0,0,0,359,0,272,484,1279,553,919,1726,32,433
NetworkMultiRadioIPv4.mobileHost[25].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,71,201,144,1128,0,0
NetworkMultiRadioIPv4.mobileHost[25].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[26].wlan[0].mgmt,0,0,0,0,22,511,111,0,0,663,590,581,953,85,528
NetworkMultiRadioIPv4.mobileHost[26].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,364,0,573,0,0
NetworkMultiRadioIPv4.mobileHost[26].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[27].wlan[0].mgmt,214,751,0,769,0,976,2987,12,1117,1256,278,389,2007,1318,887
NetworkMultiRadioIPv4.mobileHost[27].wlan[1].mgmt,0,0,0,0,0,0,1580,0,0,291,40,0,1470,1199,93
NetworkMultiRadioIPv4.mobileHost[27].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[28].wlan[0].mgmt,59,0,0,0,6,883,375,586,235,690,437,844,605,1130,689
NetworkMultiRadioIPv4.mobileHost[28].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,25,0,496,0
NetworkMultiRadioIPv4.mobileHost[28].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[29].wlan[0].mgmt,0,0,626,0,0,0,473,0,480,562,0,0,0,175,322
NetworkMultiRadioIPv4.mobileHost[29].wlan[1].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NetworkMultiRadioIPv4.mobileHost[29].wlan[2].mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
